date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:01	44781/44781	---M--	200	added ('OK')	image/png	etag:%22aeed-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/page-img/profile-bg.png	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/page-img/profile-bg.png	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:02	32535/32535	---M--	200	added ('OK')	image/png	etag:%227f17-5dea1baf223d1%22	https://templates.iqonic.design/yofit/html/assets/images/layouts/yoga-girls.png	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/layouts/yoga-girls.png	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:02	192935/192935	---M--	200	added ('OK')	image/png	etag:%222f1a7-5dea1baf223d1%22	https://templates.iqonic.design/yofit/html/assets/images/layouts/yoga-bg.png	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/layouts/yoga-bg.png	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:04	7564/7564	---M--	200	added ('OK')	image/jpeg	etag:%221d8c-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/022.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/022.jpg	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:05	6154/6154	---M--	200	added ('OK')	image/jpeg	etag:%22180a-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/033.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/033.jpg	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:05	6819/6819	---M--	200	added ('OK')	image/jpeg	etag:%221aa3-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/044.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/044.jpg	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:05	61921/61921	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20May%202022%2005:38:11%20GMT	https://templates.iqonic.design/yofit/html/backend/privacy-policy.html	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/backend/privacy-policy.html	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:06	61921/61921	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20May%202022%2005:38:11%20GMT	https://templates.iqonic.design/yofit/html/backend/terms-of-service.html	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/backend/terms-of-service.html	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:07	6754/6754	---M--	200	added ('OK')	image/jpeg	etag:%221a62-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/011.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/011.jpg	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:07	15799/15799	---M-Z	200	added ('OK')	application/javascript	etag:%223db7-5dea1baf31dd1-gzip%22	https://templates.iqonic.design/yofit/html/assets/js/table-treeview.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/js/table-treeview.js	(from https://templates.iqonic.design/yofit/html/backend/)
